video-name,f-init,n-frames,video-frames,sentences
v_HoQQlRzybmA,32,2701,6508,A large choppy waterfall is shown.
v_HoViId2LHl8,0,4051,4050,A woman starts dancing next to a man in front of a gathered crowd.
v_hP8wUI0qdaQ,0,4856,4854,woman is talking to the camera in front of a large gym with a lot of estatic bikes in the background and people doing exercise.
v_hPIHCG5n7RI,0,109250,109193,A small group of people are seen playing a game of lacrosse on a field with a man walking towards them.
v_HPJuOvOmEW8,0,6325,6323,An intro leads into a tall man wearing a santa costume and skating down a long street in between people.
v_hpoReoD1vD0,0,163830,163754,A white plate is sitting on a white table in a kitchen.
v_hPOtGLv1GzM,0,5729,5674,People are riding bicycles on a track.
v_HppLOtjJY_Q,0,1669,1669,A large group of people are standing on a bridge.
v_HpQrpwNgCjc,0,334,331,A close up of a high dive is shown followed by people walking up the steps.
v_hpU50i4WBK8,0,231090,231037,Two people are on a boat getting ready to dive into the ocean.
v_HPv-d6qybdE,0,6396,6427,A camera pans all around an indoor gym and leads into clips of people pole volting over a bar.
v_HPyLSmDjsHY,0,171520,171389,A young girl is seen sitting in front of a camera and presents various nail objects to the camera.
v_hQ4xkr6VpnA,0,2386,2385,First the woman is shown tracing her finger down her neck.
v_hQeDWu5NOj8,0,126460,128340,A small group of people are seen riding in a raft down a rough river.
v_HQFey_iCEw8,5,363,384,"A man in a baseball cap, shorts and a blue short sleeved shirt serves three tennis balls across a tennis net on a tennis court by himself."
v_HqGWA16ECWE,0,10410,10401,A girl in a dress is crossing monkey bars.
v_SjfrdNchlqw,0,1457,1457,men are sitting in a black jack table in a casino and the dealer is spreading the cards to players.
v_sjHCZWdopsQ,86,5699,5785,The fingers are pressing the black keys.
v_sjpWwjzCbrw,0,3773,4033,A health professional washers her hands with soap in a sink.
v_SjwFCog0amE,0,1637,1635,"Two men are sitting, with their shoes in view."
v_Sk1RSHPavBU,0,9520,9838,We see men playing soccer in the sand.
v_SKbjRXF35Wk,0,5163,5160,Two people are dancing on a dance floor.
v_skSPijG9sgU,0,6594,6591,A few kids are seen standing on a stage followed by the children pushing a puck along the ice.
v_Skz2tom_Ag0,0,6800,6975,A man is seen standing on a tennis court on one side of the fence.
v_SlogVhfmTVs,169,4068,4236,A boy sprays shaving cream into his hand from a can in his bathroom.
v_SLPD1U5iDjY,0,129410,129411,A woman is seen outside playing a game of beach volley ball serving it over the net in slow motion.
v_sLq6p6NKApk,0,2244,2241,We see a man with a croquet mallet talking.
v_SlT6OBmQqpc,0,1569,1568,A young man is seen standing in front of the camera and begins spinning in circles.
v_slUvIngXl4g,0,2137,2136,two sumos are on sides of a ring and the refeee is in the middle while people is in sands sitting arpund them watching them.
v_SLv4rEkiYaU,0,2206,2205,Text appears on the screen briefly.
v_Sma-ydx49eQ,0,2358,2357,A man starts jump roping on a stage.
v_SmBEf-g82Ew,3600,82390,90096,A close up of tools and objects are shown laid out leading into several clips of a mean measuring a wall and laying plaster down on it.
v_smfBAiFujmE,0,706,704,A person is seen sitting in the water with a pair of skis attached to his feet.
v_smGijLg8Cho,0,3680,3678,Three men are set up to play darts.
v_SMhW9V-cJsQ,0,823,822,A man wearing gloves is on his hands and knees using a power tool that is creating sparks.
v_smk2WJV1Zmo,0,3778,3776,woman is in a gym doing leg exercise and abs.
v_sMO2IlNgDuw,0,174640,175474,A young child is seen playing with a toy and putting lip stick on her lips.
v_SMpmoqIk3Ts,0,753,750,Several individuals are in the water playing a game and the man throws an orange ball to a person.
v_SMUWOVJ3bzE,700,67860,69925,A young child is seen sitting before a piano and playing a song while wearing a halloween costume.
v_smYAy6TYS3M,0,529,528,A group of small children are on a playground.
v_sn1OtmEJxng,0,4656,4652,A long line of bikers are shown in the dark at an event.
v_Sn8IRyUFNac,1490,25480,37171,A woman smoking a cigarette speaks to another about how much they need smoking.
v_8QbHeaXOJOA,0,6310,6307,A kite is shown high in the air.
v_8Qg395HjqFg,0,4769,4915,A man in a white jacket picks up an iron.
v_8qIl-0XOguM,0,6394,6396,The camera follows several people on a walkway from a first person perspective.
v_8qODQbBVsus,0,4210,4207,A man and woman are standing at a counter with a pineapple.
v_8qzR38WgsS8,0,3798,3795,A group of young boys are on bicycles behind a sand preparing to take off and race down the course.
v_8rHY_Vt2FLA,0,3752,3886,A car is seen driving around and leads into a man pumping air in the tire.
v_8rimo9x4qqw,0,4366,4364,A snowboarder gives a tutorial for how to hit a jump.
v_8rypSctbfjU,3400,223180,226637,A brush and two kinds of paint are on a table.
v_8SCg3toperM,880,85290,88424,A large group of people are seen running around a field playing lacrosse while others watch.
v_8slE1UskRS4,0,5188,5187,"Three people are standing outside under a very large concrete gazebo and briefly the white word ""MARANHAO"" is on the right side of the screen."
v_8SMXK2uOvk0,210,42720,42919,The credits of the clip are shown.
v_8sTJGmY-SGQ,14,1377,1396,A man is seen standing with his arms up and walks in between a set of uneven bars.
v_8TDYCXqSHCw,0,537,540,"A gymnast lift a weight until his shoulders, then lift it above his head."
v_8tI9IsSpgeI,0,21690,21577,A man lifts  large weight off the ground.
v_8TNzCiy8iaY,0,4768,4766,A man wearing a suit in the city walks down the streets of new york and meets up with another man who likes just like him.
v_8TqqLqBb3sk,0,43840,43782,A woman is standing in a kitchen while talking.
v_8twDb4CdhE0,0,35990,35949,A close up of a woman is shown speaking to the camera holding an ice cream in front of her face.
v_8Tyu4-JnfDc,0,5362,5359,"A white screen appears with a green logo and green and gray words appear and it says ""howdini get yourself a guru""."
v_8UJ5PGzu1PE,17,869,884,A man lays a Coca Cola bottle on a bundle of hay.
v_8uP35-qttBo,0,4715,4964,Two men are seen speaking to the camera while each hold a bow and arrow.
v_8UvKQnfXnCk,0,2340,2336,A person is water skiing behind a boat.
v_8UyB9XigBXM,0,5975,5974,A young girl is seen brushing her hair as well as spraying product into her hair.
v_8Uyi1KXdS50,0,3286,3285,An elderly woman is seated in a chair.
v_8v2sAylgkgc,0,1520,1519,"A man is at a park, where he and his wife, who is holding a baby, push two small children on the swings."
v_8v4NoUJMssI,99,1086,1322,A man pours coffee into a mug.
v_8vcO5DRxP6c,518,4267,6092,A man picks up a ball and puts it behind his neck and throws it onto the field.
v_8VPiqCCOPWg,0,4967,4966,A woman is seen diving through colorful banners.
v_8VYre-lXqIo,0,5075,5073,A pregnant woman is slowly moving in a room.
v_8W-x068F4tE,0,1747,1746,An athletic man is seen standing before a beam and begins performing a gymnastics routine.
v_8wDm37sdBCI,0,618,616,A person is down below and is swinging a fabric and hitting it onto something.
v_8WFB_LUOx4k,0,4607,4607,A camera captures several shots of sites as well as people standing outside drinking and celebrating.
v_8WJWtfmEipI,0,478,477,A car is stopped at a red light and there's a view of a small town that has some snow on the ground.
v_8wKBvYGGldQ,455,1896,2462,There is a fast motion video showing a family carving four pumpkins to make jack o lanterns in their kitchen.
v_8wNsOZHTsj0,0,2102,2101,A man splits logs into using an ax in a grassy yard while his wife retrieves the pieces.
v_lCuMD23jOxo,2370,155430,157850,A person is seen speaking to the camera and smoking out of a hookah pipe.
v_lcUtnIptSjM,0,6859,6858,A woman in a lab coat is in a hospital recovery room.
v_lcVkXTsnR7A,34,6779,6846,A guy climbs up the stairs carrying a black amplifier.
v_lcwR7eA-VOY,0,5390,5327,Two wrestlers are up on a ring arguing.
v_LdAT5MEBkuQ,107,3390,3586,A man water skiis at a river.
v_ldjIg23Rofw,0,6177,6176,two man are in a room playing row row row your boat.
v_LDjomH0-hYA,0,5488,5685,A woman wearing a dress is dancing on a stage.
v_lDriXPZt_Yg,0,2498,2497,A woman is holding a bottle of purple nail polish up to the camera.
v_LDSEEw5oUM4,0,3877,3874,A woman is seen walking onto a large gym floor while holding a baton and striking a pose.
v_LE05u6TR9MI,0,1044,1062,A large group of people are seen standing in a crowd yelling and playing a game of volleyball.
v_Le6fNx5IWRI,0,4019,4038,A stadium is seen from above with a large audience.
v_legHHtPK5fA,0,964,958,A group of men are standing in a row.
v_leJM3mgm_gU,0,3600,3574,"A large, blue ball is tossed in the air."
v_leKf6Q87IYg,21,4175,4237,Several pictures of seen of a man wakeboarding and leading into him speaking to the camera.
v_lEqYTrzaHsc,0,61600,61518,An intro leads into a boat full of people flying on the water.
v_LeSq1XE93mE,0,6834,6833,A band is shown on a stage.
v_lEYr4d4vBWc,0,4851,5159,A close up of a wall is shown followed by several clips of men opening a window.
v_LFbW1KVHT8s,0,2370,2367,a elder man is on water standing on a jet ski.
v_LFeoVokXAFY,0,1460,1458,A man uses a large plastic blue bat.
v_lfGmSfTjnA8,0,160500,160392,A woman is standing in a messy kitchen in front of the sink preparing to cut something.
v_Lfh5p8ReOYo,0,4471,4469,A woman is seen sitting at the end of a bed taking her shoes off and then baby's feet walking.
v_LFiGhD1OEws,81,3125,3238,A group of young people play field hockey on a field while a man watches from a fence bordering the playing field.
v_Lfj9JC7uWmE,0,2026,2025,man are playing war of a tug in an open field in font of a lake.
v_LFOlEafI35c,160,15670,16038,Two young men arm wrestle in a kitchen using a standing cat chair as an table.
v_lfuNoeRYWz4,0,104980,104908,Text is shown from the centers for disease control regarding proper handwashing.
v_Lg-mJS-BZZo,0,14670,15047,A person is seen wearing a funny costume while holding onto a piece of machinery.
v_Lg6QZST92xo,0,49960,52290,A close up of a log is seen and a person swinging an ax up and down.
v_LG7p5JrgMfE,262,3771,4032,A man dressed in a black suit and woman dressed in a black dress are dancing together to Latino music.
v_lGAK_3Jp2I8,423,344,1208,A man body slams another man on a ring.
v_LGj7_gw2GbQ,0,4863,4886,The credits of a clip are shown.
v_LGku-onF4VI,0,1921,1908,People are sitting behind large drums.
v_LgoMRWkBDkQ,0,176,303,A man takes out the ice over the windows of a car.
v_lGPUCwHjiK0,0,5385,5382,A man is preparing to run and jump.
v_lGRZ3F7tW2c,0,4219,4216,A large group of kids are seen practicing basketball drills on a court and passing the ball quickly to one another.
v_-9B2XtqICFw,0,5523,5514,We see a series of title screens.
v_-fjUWhSM6Hc,0,4953,4952,A huge crowd is in the stands in an arena.
v_-nskwoky7vk,100,3770,4007,A man is seen speaking to the camera while holding a large accordion in his hands.
v_-s1MQAiOMeY,15,3084,3146,A black template with scrolling print with white lettering goes across the screen in an upward motion.
v_-wWtZjqIH9o,57,482,558,A group of children of varying ages slide down a blue slide in a theme park.
v_0-F3q8Aj9Zk,0,6215,6212,A teenage boy dances around in the background while another teenage boy wearing practices high jump in a school cafeteria.
v_09Kr5TQ9DHQ,0,2932,2930,A person is shown drawing several lines on a piece of paper that leads into several fast motion clips of snowy areas.
v_0GpNcvAVWVg,0,5823,5818,We see the colorful title card.
v_0MtST08F2Xc,58,356,552,A person in blue pants is raking some fallen leaves from the ground.
v_0RUs80IYF38,0,29630,29623,A man jumps off of the brown horse and he lassos the bull to the ground in the beginning.
v_0YPfoB84Fes,0,2584,2596,A woman shows how to cover a cake with frosting using a spatula.
v_18QVPZgjy8w,0,3972,3969,We see an opening title screen.
v_1Cf8TkmsbMU,0,4080,4078,We see a young man speaking in a news studio.
v_1GQARL4coRo,0,3196,3529,A man paddles a surfboard with a baby on the board in front of him.
v_1PTNnaEu8xo,0,163420,163422,A man is tying a yellow belt around the waist of a taller man who shakes his hand and then shakes everyone else.
v_1uC0xzyx4Bc,450,4425,5298,A person is showing how to install rubber tiles in a gym.
v_1ZuUq5rVwPs,132,2637,3791,A carpenter sprays a ceiling with paint.
v_28QW8P1x_LE,0,5776,5775,A man and two women are doing an aerobic dance inside a building.
v_2DvMNOas7jY,0,4081,4077,A person is seen riding down a long street on a skateboard while the camera follows from behind.
v_2Mw-3jScc0M,0,5655,5654,An aerial view of a field and animals is shown.
v_2R_TVXvocQs,0,169230,169170,a man and a woman are dancing doing a zumba choreogaphy in the middle of stage.
v_2wUKu5UIHmI,0,100870,100822,The camera captures a close up of an older woman putting makeup on and smacking her lips to the camera.
v_352jrqIWSFY,0,233,215,Two wrestlers are seen hunches over in a ring with one running over to the other.
v_3bTGq7QDjUg,0,1524,1522,Two people are tubing in a stream with lush water and huge rocks through out it.
v_wMDyshGO2og,0,5213,5211,A game is taking place between argentina and peru.
v_wmmOt79-Azo,0,712,712,People are standing in a room playing tennis.
v_WMoofjkumOs,23,4575,4597,In the beginning the man is shown tricking the bull.
v_WmOTDAim7XM,0,16050,16039,A man is holding a chain saw over his head.
v_WmPkqkqAxyc,0,1119,1170,A man is seen standing in a large field holding onto a tool.
v_WmQC309JCAI,0,181080,181070,Men in a jerseys are standing around with their arms crossed just kind of staring into space.
v_WMx0-3GZGUI,0,4950,5468,A little girl is in a kitchen talking.
v_WMxQ5hc4s78,0,4618,4617,A small table sits atop another table.
v_WnLYDJ8Jwv8,0,134330,134274,A girl is shown washing and scrubbing her face several times while speaking into the camera.
v_WnoJmKZC_qg,216,3906,4337,"A man demonstrates, through example how to play the recorder."
v_wNvLv7PtvQg,0,18950,18808,A camera zooms in out two people riding in a canoe together.
v_WnYqWQ005Tc,0,5950,5948,An Asian male is standing on a hard wood floor and begins talking and begins to do a spin on his head.
v_wO9DGYTAX70,0,4505,4500,Slow motion shows of people riding horses over jumps are shown that lead into a woman speaking to the camera with a horse behind her.
v_wohWWAB47KM,0,222220,222224,A man is water skiing behind a boat on a lake.
v_woiigfrANUM,0,4247,4246,A man stands in an arena preparing to skateboard.
v_WOkHZ33CgAs,0,627,627,Two men start fighting standing outside.
v_woLR9wHe0Vs,0,2541,2540,We see a man in a yard raking with a title on the screen.
v_WOonpO98TdQ,34,6839,6940, A man and a woman in a garage style weight room demonstrate how to lift a weight bar with the woman exhibiting the lifting of the weights.
v_wott7JRSkOk,0,135,134,Two men plays soccer table moving the players on the rods.
v_wOwWidUOaxc,0,2199,2197,A man is seen kneeling down in a picture followed by two men bending down towards one another.
v_wOZdXVdiB04,0,134490,134451,A large group of people are seen playing dodgeball against one another and throwing the ball back and fourth.
v_wP0jr86MNOw,0,3123,3200,man is standing nex to a van wearing stilts.
v_WP8YccCA2Jc,3320,59800,73765,Man scraps the ice from his windshield.
v_Wq-eDa62BcI,7670,119539,127896,A person's hands demonstrates how to stye and comb a blonde haired doll.
v_WQAVlmS5IWs,0,1850,2760,A woman talks to the camera while bathing a baby in the bathtub.
v_wQbVxdVTN-I,0,1510,1509,A boy holds an axe outside.
v_wqlEUeJzNVc,0,4158,4154,A man is sitting in a gym with friends who make stupid signs at the camera.
v_wqM6TdjBCfs,158,5909,6353,A man chops wood with an ax on the snow.
v_dWPlarw_xg8,0,5367,5367,A man gets pumped up to do a long jump then does it.
v_dWUEAavKWmI,0,3747,3745,Two men wearing blue are inside playing a game of ping ping.
v_DWVI_N4Aeo8,11,765,792,A diving is seen standing ready with his arms out to the side.
v_dx5VK79QWlg,0,210,222,A woman is knitting in bed.
v_Dx9wjBdbZ1M,6700,31540,43176,The man is kicking the tile of the roof until it moved.
v_dXdhOe0DPC4,38640,159519,198128,A woman is sanding a book shelf with a sander.
v_DXG4djsPk7s,0,304,486,A person is wind surfing out on a lake.
v_dxgeEdlt7do,0,3256,3255,Dirt bikes race across a bumpy track.
v_DXIHbnyfNGA,0,6613,6609,A computer monitor sits on a desk.
v_dXLhYjRSNcs,0,1238,1236,A gymnast is seen climbing onto a set of uneven bars and performing a routine while many watch on the side.
v_DXluU6_7OXQ,0,148590,148603,A girl stands up from a table in a kitchen.
v_DxNIzbD6uD4,57,2104,2296,A woman is seen speaking to the camera in front of a large exercise bar and begins standing on the equipment while speaking and using her hands.
v_dXSlCw8AXv0,0,204110,206223,A person is seen riding along the water on a surfboard as well as others speaking to one another.
v_dXTfrVz9A9o,182,2739,3318,A man cleans the snow with a self lifted shovel that has a rod to impulse up the shovel.
v_DxtISmKol2I,0,3803,3841,Two people are seen kneeling down before a board and pushing down objects.
v_DXu_aHrZaUs,0,114510,119874,A sign board is seen with a company logo and contact information.
v_dxvKVBrNMDw,405,2747,3521,A woman is seen speaking to the camera while holding a hula hoop and then proceeds to spin the object around her.
v_dY2iZq5T0zo,0,3904,3901,A group of people are riding horses and playing polo.
v_DYahQgHG1Gk,0,3381,3379,An intro appears on the screen for a video bout a man who will be playing the rums.
v_dygVFom6V5c,0,6053,6049,"Two women are riding on the back of a four wheeler, and waving."
v_dyLGepr7VR0,107,4114,4283,Two men and a woman are seen walking up onto a stage while a group of people are seen behind them in mirrors.
v_dyobp97TugE,0,181140,181107,A woman and a dog are playing on the grass with a frisbee.
v_Dys_KC7uIzs,2340,85509,234262,Several men are shown bowling while an audience watches on.
v_dyvB6XCWPZs,727,5886,6610,People are rafting in rafts down a choppy river.
v_DyVqsDJYXdM,0,5304,5303,A play the is part of a cricket game is shown on the screen.
v_dZ4y7J3ASEE,0,870,869,A person throws a ball to a teen who runs and kick the ball.
v_dZa5ir3baH4,0,1122,1119,A man prepares to run along an indoor track.
v_DzCk5xjSF9o,0,1280,1277,"A lady in white stripes shirt is standing next to a young boy, they are standing at the counter, they cut the side of the bread, put spread on it, roll the bread in a plastic, cut the side of the bread, put meat on the bread, shredded the cheese, roll the bread in the plastic."
v_DzCVpvVJCo8,0,1270,1269,A girl is seen laying down on a table while a man wearing gloves holds scissors to her belly button.
v_DzdNjXensv0,0,4099,4098,A group of people are gathered outdoors at a market.
v_dZMMhVx7yY4,0,4915,4914,A man is seen speaking to the camera followed by him talking to random women on the beach.
v_dzpsJQN4o-Y,0,4138,4355,The door opens and two people wearing slippers enter the room.
v_PpC4kPd5KfA,0,4387,4385,A man walks up to a lane in a bowling alley.
v_pPGniqIBs-U,0,1905,2002,A man is seen holding a small child while looking and smiling to the camera.
v_PPJ6gSuk33o,0,1711,1723,A man is seen standing in a bathroom with a woman and looking back to speak to the camera.
v_pPn5f_ked3s,0,245,243,"A woman clapping in the sidelines, cheering someone on."
v_pPsqB3tY7hk,118,2668,2963,Various shots of landscapes are shown as well as people pushing a puck to play shuffleboard.
v_PPXrVuZAb74,0,10080,10109,A woman is closing her eyes standing on a diving board.
v_pp_J6AzUu4s,0,4908,5192,A woman is standing in a kitchen.
v_PQ-qpoPeqM0,0,4583,4579,A young man pulls a wheel out and shows the proper structure of a wheel.
v_pq2xsK79FcQ,0,1034,1285,"A track and field long jumper from the Florida Gators dressed in blue and orange prepares to make his run while other participants, coaches and officials congregate around the track and field  course."
v_PQBeNLSdugw,0,2408,2407,Young boys are shown doing a karate demo in front of the judges.
v_PQgydNnSggw,0,5079,5078,A woman is seen sitting in a chair speaking and waving to the camera and looks into a mirror showing her and the camera man.
v_PQkambF3iEk,0,2004,2002,Two people are seen fixing up a car and changing the tires on a vehicle.
v_pQof_-tUNtY,0,4504,4502,We see a box on fabric.
v_PqP3JIJEU5I,0,54100,54126,A man is smoothing a substance on a roof with a trowel.
v_pQQb2FP1ewE,15,3087,3100,Two men push a small private helicopter out of its shed.
v_PqrexMJ5ohk,0,129949,130001,A close up of balls moving around a pool table are shown followed by a person walking around the table.
v_Pr3iVnKpv0c,25,2501,2525,A teen plays violin in a room.
v_pRGlbeqRfM0,0,6188,6187,man weaing a green shirt is standing next to a little girl.
v_PRkEpM8ffak,12,1229,1252,A person is seen using a piece of exercise equipment moving up and down on the machine.
v_35DlDj_hzvg,4,154,160,A man is seen bending forward and holding onto a set of weights while gripping tightly.
v_35Xzs3Bz1hQ,0,2289,2286,A working man carried a tray of coffee to a table with guest.
v_36JC5C6I4sg,0,5405,5628,People wash a car with water using a hose.
v_36K1e9WgEpU,16,3184,3315,Several people in donut shaped inflatable rafts float down a narrow stream guided by people helping them in the water and watched by a small group of people on nearby land.
v_36lphp9tnMk,0,4540,4537,A man is standing outside drinking beer.
v_37pwbUp8t1I,0,4772,4795,Hiphop dancers perform in front of a crowd.
v_37Q3so6ERxs,0,247,239,A man in blue shirt drink a big glass of beer.
v_37siIMJNG9Y,0,2454,2452,A young girl is sitting down in front of a screen and begins talking as she is holding a bottle of blue mouthwash.
v_38nAdby_fTw,22,4306,4387,The credits of the clip are shown.
v_38qpTblXDTw,0,15950,16014,A woman sits on a riding lawnmower in the distance.
v_39FIjDeot-s,0,3166,3164,a lot of kids ar standing ni a basket court doing boxing movements.
v_3A26j50_awY,0,794,792,We see a track with people standing around.
v_3am00ii0n-o,0,6355,6385,A guy and a lady interact.
v_3aQnQEL3USQ,0,6089,6088,A boy wears jumping shoes to bounce in front a building and in a playground.
v_3ArMGKnxlcU,0,114630,152791,People are canoeing down a river of water.
v_3AWvyAJv20g,0,3424,4074,A woman folds towels on an ironing board at home.
v_3AZgr5HkSDY,85,5358,5666,A large group of people are seen performing a routine together in an exercise class while moving up and down on a beam.
v_3baH1vI0Cxk,0,2215,2367,"Two men walked over the football table, one man counted the dice on the side."
v_3boxQwSpv-8,0,900,899,A little girl smiles and talks to the camera.
v_UVxXr_mh5BM,0,5889,5888,A picture of a young lady's bun is shown and then the lady then appears.
v_UW1wC80VNd8,0,3696,3694,"A woman is in a kitchen, stirring food in a pot."
v_uwGcEaW3z3Q,0,11360,11330,A man is trying to lift weights in a gym.
v_uWguPHhQON4,0,956,951,A man prepares his supplies near a picnic table and then sets one down.
v_uWJUoJyvFF0,0,4125,4122,A woman is sitting in a living room on a couch talking to the camera explaining what she is about to do.
v_uWnlmM2uOs4,136,742,909,There are many people in bathing suits standing in a lake with motor boats behind them.
v_uwQDvcWzBy0,234,4269,4689,A woman is seen speaking to the camera and leads into her putting several ingredients inside a mason jar.
v_UWusSRe8Whg,0,2945,2943,Two men are sitting in a room with four congos in front of them playing.
v_uWWo9qZh3cU,0,107320,107285,News anchors introduce a clip sitting at a desk in a newsroom.
v_uwxuvGci98g,0,3790,3788,A female with a long blonde pony tale begins running across a large green field throwing a ball.
v_UwZbkuVsPno,0,1729,1727,Two men are standing on a basketball goal.
v_Uw_4gKpmAhI,216,944,1190,There are three contractors remodeling a house that is torn down for renovation.
v_uX-UwKfRvJY,393,3221,3744,The video begins with four pictures of contracted human abdomens.
v_Ux4brKS0Sac,17,3502,3571,A man is seen speaking to the camera while putting a box around some paper.
v_ux4iT6vQQb0,0,2148,2190,People run motocross on a bumpy road in the wood.
v_UXc2y7lR5t0,460,18040,18495,A boy hangs on monkey bars.
v_uXcCES4BsQ0,0,758,757,Two people are seen sitting behind a counter when one moves back and fourth and prepares himself.
v_UxhKb-zZoWE,0,3496,3815,Two sumo wrestlers are seen fighting that leads into people walking in and others dancing together.
v_UxIXOCccW24,0,1906,1905,Two people are seen speaking to the camera wearing costume when another person steps into frame.
v_c0Hix_5Vm8I,0,6527,6525,A vans off the wall ad is shown.
v_C0OxaqCr_wk,0,25540,25497,A person is seen speaking while smoking a cigarette and blowing smoke out of their mouths.
v_c0qbyRWSptg,0,3254,3371,Boats are going through the water.
v_C1djGYqkhYI,0,2679,2677,A young girl in a green leotard begins twirling a baton and doing tricks.
v_c1eUdyyT4zg,0,770,805,kids are driving bumper cars in an amusement park.
v_c1Gby2EHBzs,310,20090,20879,A man is seen holding a stick in his hands and speaking to the camera.
v_C1TWr5XH8b0,0,2211,2210,Various text is shown across the screen and leads into a man speaking and more tools being shown.
v_C1vhQIJtLsw,0,36570,36520,A man is seen standing on stilts in a city square while other people around him roller blade.
v_C1YNGahOoiA,310,4931,6893,A man fasten his legs on a pole of a sail boat an lay down on his back on the border of the boat.
v_c2-6_i1yV5E,0,5097,5121,Individuals run with a elongated stick and use it to elevated their bodies over a heighten hurdle.
v_c21Y_pi3-Gg,0,3909,4028,Several close ups of sandwiches are seen as well as a person cutting up meat and vegetables.
v_C26UfwZbHE0,0,83690,83670,"woman is talking to another standing in front of green lockers in a hallway, a man walks to the girls holding yellow roses on his hand."
v_C2KzNljiTIU,0,1568,1567,"A woman is seated, brushing her hair with her back to the camera."
v_c2VcfB3YTBo,0,3685,3696,We see a lady walking down stairs.
v_C3BBG_9Vo48,0,3426,5037,This video shows how to make a microwaved cake using Ganache frosting.
v_C3K-OgdK8FY,0,192750,192704,A man is wearing sunglasses inside a building.
v_c3lo99rni-o,0,5210,5209,woman is standing in a kitchen talking to the camera holding a bag of pasta.
v_c3SJUucMqJQ,329,3753,4389,A person picks up a cat off of a chair.
v_c3vEqTcKPsU,0,933,2391,a journalist is interviewing a basketball player in a court.
v_c4f6d1GRDEw,0,4409,4475,A man is seen standing in front of a table holding up a bar of wax and other objects.
v_c4GQ3WTOeAA,1590,100960,105687,A small child is seen sitting on a coach opening a present.
v_C4QrTmNDADY,176,6781,7062,A man is seen laying on the floor and begins demonstrating how to properly perform dance moves as well as the wrong way to perform them.
v_C4td7rprQGM,0,1638,1633,A woman talks on front a hopscotch.
