video-name,f-init,n-frames,video-frames,sentences
v_-5h2E52tl4Q,1345,28,2861, The same female then uses a different rag to rub the sink surface.
v_-5h2E52tl4Q,1574,1216,2861, The female puts more cleaner on the rag and cleans the counter top.
v_-5K3KZ6fHuI,0,462,1184,A group of friends are seated on sleds at the top of the hill.
v_-5K3KZ6fHuI,462,516,1184, The two friends are pushed down the hill and they slide to the bottom.
v_-5K3KZ6fHuI,1002,184,1184, The two friends are stopped by rubber mats at the bottom of the hill.
v_-5KAycAQlC4,0,877,4177,A man is being pulled on a water ski as he floats in the water casually.
v_-5KAycAQlC4,940,2026,4177, He mounts the water ski and tears through the water at fast speeds.
v_-5KAycAQlC4,3154,1024,4177," Two men are shown sitting in the boat, before cutting back to the turbulent water skiing."
v_-5xWaBSwnjY,0,2147,2147,woman is in a large green field holding a yellow frisbee and playing with a dog.
v_-5xWaBSwnjY,21,2126,2147,a lot of acrs are parked in the street behind the alrge field.
v_-5xWaBSwnjY,0,2137,2147, woman is throwing the frisbee to the dog.
v_-5Yp-vToI2E,0,907,2791,A large group of people are seen standing around a ballet room and leads into four performing a dance.
v_-5Yp-vToI2E,656,1549,2791, The four continuously move together while holding hands and doing the same moves.
v_-5Yp-vToI2E,1577,1102,2791, The girls laugh together and continue dancing and ending by holding a pose.
v_-6prmNqkAN8,0,565,1177,A large snowy mountain is seen as people gather on the ice.
v_-6prmNqkAN8,612,565,1177," They hit several pucks, sweeping them in a game."
v_hN9diyaOK4E,0,93280,94303,A man competes solving a puzzle cube.
v_hN9diyaOK4E,4240,3300,94303, A person pass behind the man.
v_hN9diyaOK4E,55590,1419,94303, A hand extends a sheet on front the player.
v_hN9diyaOK4E,89520,4710,94303," After finish, the man puts on his glasses."
v_HNBiW2Nq318,1600,21020,40020,A person is seen bending forward on a gymnastics beam while moving his hands up to keep balance.
v_HNBiW2Nq318,23020,16209,40020," The man then attempts a flip but lands on his stomach and falls off, walking away in pain and his jump shown again in slow motion."
v_HnEvJUr8DEM,0,246,245,A man is standing on a field.
v_HnEvJUr8DEM,32,72,245, He kicks a ball into the air.
v_HnEvJUr8DEM,191,55,245, He runs to first base.
v_hniQpwn3Ob4,23,2364,4726,An intro leads into several clips of different athletes performing shotput throws in a circle.
v_hniQpwn3Ob4,1536,3144,4726, More men continue to step up and throw the object while many watch on the sidelines.
v_HNIs8lFvKkA,264,463,6623,There are two people dressed in yellow shirts playing table tennis in a finished basement.
v_HNIs8lFvKkA,728,364,6623, There are three people seated on sofas next to them watching soccer television.
v_HNIs8lFvKkA,1093,563,6623, Another person seated on the sofa is playing on his phone.
v_HNIs8lFvKkA,1656,496,6623, The two players continue playing table tennis.
v_HNIs8lFvKkA,2153,1027,6623, The player on the right hits the ball which is opponent returns in a fast manner.
v_HNIs8lFvKkA,3180,1060,6623, The ball falls off the table.
v_HNIs8lFvKkA,4240,662,6623, The person on the right runs to pick up the ball.
v_HNIs8lFvKkA,4903,331,6623, They continue playing and serving the ball.
v_HNIs8lFvKkA,5234,331,6623, A guy dressed in a black hoodie walks by.
v_HNIs8lFvKkA,5565,861,6623, One of the player pauses to adjust the table.
v_HNIs8lFvKkA,6427,198,6623, They continue playing table tennis as they talk to each other.
v_HnM44lX65cQ,3,273,757,A seated man is using a sharpener to sharpen a large knife.
v_HnM44lX65cQ,288,471,757," He scrapes it along the surface and underbelly of the knife, sharpening it."
v_hnwZmUR1FUw,0,1937,2508,There are two men indoors and playing racquetball in an indoor court as they quickly hit the ball against the wall and take turns.
v_hnwZmUR1FUw,1937,63,2508,One of the men wearing a green shirt looks angrily at the camera and throws the racquet at the camera.
v_hnwZmUR1FUw,2001,515,2508, The camera person turns the camera to himself and he is running and laughing while looking in the camera.
v_Ho0eNR4jvEg,0,141100,141061,We see the underwater sea floor.
v_Ho0eNR4jvEg,7050,9180,141061, Two people swim in front of the camera.
v_Ho0eNR4jvEg,23990,5640,141061, We see a man holding a camera.
v_Ho0eNR4jvEg,47270,4229,141061, We see a fin enter the camera.
v_Ho0eNR4jvEg,67730,73369,141061, The camera is spinning wildly.
v_Ho0eNR4jvEg,98060,7759,141061, Bubbles rise out of a tube.
v_Ho0eNR4jvEg,112170,7060,141061, A man hands another person the mouthpiece.
v_hOcP06xuKFg,0,590,39053,A person grabs a disk from a pile of disks.
v_hOcP06xuKFg,7230,20530,39053, They throw it down a shuffle board.
v_hOcP06xuKFg,33040,6060,39053, The continue to throw disks down the shuffleboard.
v_hOdSTik8_nw,0,539,4148,The coach is coaching his team.
v_hOdSTik8_nw,166,373,4148, The guy in the black in the back walks off.
v_hOdSTik8_nw,560,726,4148, The coach is then speaking to the parents.
v_hOdSTik8_nw,913,124,4148, two new guys arrive in the back.
v_hOdSTik8_nw,1328,415,4148, The coach is on the field with the teams.
v_hOdSTik8_nw,1556,124,4148, the yellow bus drives past.
v_hOdSTik8_nw,1680,560,4148, the red team is listening to the coach.
v_hOdSTik8_nw,2241,332,4148, The kids are playing the game.
v_hOdSTik8_nw,2552,62,4148, The kids are listening to the coach.
v_hOdSTik8_nw,2614,1473,4148, The game is on again.
v_hOdSTik8_nw,3797,82,4148, A white bus drives past.
v_hog7gGdk4i4,0,391,390,the kids are on the swing while one kid stand and push a little dog on the swing.
v_hog7gGdk4i4,29,90,390,three bikers are riding there bike in the parking lot passing the swing area.
v_hog7gGdk4i4,148,89,390,A women then jogs on the sidewalk passing the swing area as well.
v_hoisfXCLJDQ,4,91,436,A camera zooms in on a person riding in a tube.
v_hoisfXCLJDQ,95,197,436, More people are seen riding in tubes behind the man.
v_hoisfXCLJDQ,211,163,436, The people continue to ride around the area down the river.
v_HoQQlRzybmA,32,1106,6508,A large choppy waterfall is shown.
v_HoQQlRzybmA,1237,32,6508, A man is laying on a slack line over the water.
v_HoQQlRzybmA,2669,65,6508, A person is playing the guitar sitting on a rock.
v_HoViId2LHl8,0,668,4050,A woman starts dancing next to a man in front of a gathered crowd.
v_HoViId2LHl8,810,1883,4050, They spin in circles as they dance.
v_HoViId2LHl8,2734,972,4050," She goes between his legs, sliding outward and injuring her neck."
v_HoViId2LHl8,3747,303,4050, She gets up laughing and gives the man a hug.
v_hP8wUI0qdaQ,0,849,4854,woman is talking to the camera in front of a large gym with a lot of estatic bikes in the background and people doing exercise.
v_hP8wUI0qdaQ,849,4006,4854, girl start doing exercise in the elliptical bike.
v_hPIHCG5n7RI,0,49710,109193,A small group of people are seen playing a game of lacrosse on a field with a man walking towards them.
v_hPIHCG5n7RI,42060,67190,109193, The man yells to the players as they run up and down the field and continues to watch them as they play.
v_HPJuOvOmEW8,0,1138,6323,An intro leads into a tall man wearing a santa costume and skating down a long street in between people.
v_HPJuOvOmEW8,1107,5218,6323, The camera follows him riding around the city and performing various tricks and maneuvers around cars and people.
v_hpoReoD1vD0,0,19660,163754,A white plate is sitting on a white table in a kitchen.
v_hpoReoD1vD0,21300,86830,163754," A child places turkey slices on two pieces of  white bread, then adds a slice of cheese."
v_hpoReoD1vD0,108950,35219,163754," Finally, she adds a layer of miracle whip."
v_hpoReoD1vD0,144990,18840,163754," She leans forward, taking a large bite of the sandwich."
v_hPOtGLv1GzM,0,5729,5674,People are riding bicycles on a track.
v_hPOtGLv1GzM,1031,28,5674, A man crashes and lands on the track.
v_hPOtGLv1GzM,1632,86,5674, A man in a hat is talking to the camera.
v_hPOtGLv1GzM,1632,4096,5674, People continue to ride bikes on the track and crashing.
v_HppLOtjJY_Q,0,267,1669,A large group of people are standing on a bridge.
v_HppLOtjJY_Q,342,726,1669, They are looking into the rapid waters below.
v_HppLOtjJY_Q,1110,559,1669," Several people on canoes come through the bridge, which is the finish line."
v_HpQrpwNgCjc,0,166,331,A close up of a high dive is shown followed by people walking up the steps.
v_HpQrpwNgCjc,157,177,331, Suddenly a person is seen jumping off of the high dive and into the pool.
v_hpU50i4WBK8,0,28890,231037,Two people are on a boat getting ready to dive into the ocean.
v_hpU50i4WBK8,28890,31189,231037, They dive in and are able to look at all the beautiful corals and see fish and other things.
v_hpU50i4WBK8,60080,80880,231037, They find a cockpit that they begin to observe and look around also running into a jelly fish.
v_hpU50i4WBK8,140960,90130,231037, They begin to explore the outside of the plane where they are also able to see more fish and other marine life around it.
v_HPv-d6qybdE,0,1060,6427,A camera pans all around an indoor gym and leads into clips of people pole volting over a bar.
v_HPv-d6qybdE,964,3214,6427, Several people are shown running with a pole over a beam and onto a mat one after the other.
v_HPv-d6qybdE,3985,2410,6427, More people take their turns while others walk around the gym and watch them on the sides.
v_HPyLSmDjsHY,0,140640,171389,A young girl is seen sitting in front of a camera and presents various nail objects to the camera.
v_HPyLSmDjsHY,140640,30880,171389, She then begins painting all her nails thoroughly and ends the video with various pictures of her and her nails.
v_hQ4xkr6VpnA,0,226,2385,First the woman is shown tracing her finger down her neck.
v_hQ4xkr6VpnA,250,2136,2385,  Then she moves a part of her hair out of her way and starts to braid a part of her hair.
v_hQ4xkr6VpnA,1097,1288,2385," Then she braids another braid that is smaller than the first one, but she connects the hair, by using a couple of strands from the last braid."
v_hQeDWu5NOj8,0,35310,128340,A small group of people are seen riding in a raft down a rough river.
v_hQeDWu5NOj8,30810,65480,128340, The people use paddles to move themselves along the water and under tunnels.
v_hQeDWu5NOj8,70610,55849,128340, The group continue riding down the river and end with text across the screen.
v_HQFey_iCEw8,5,363,384,"A man in a baseball cap, shorts and a blue short sleeved shirt serves three tennis balls across a tennis net on a tennis court by himself."
v_HQFey_iCEw8,5,56,384,  A man on a tennis court by himself serves a tennis ball with a tennis racket across a net.
v_HQFey_iCEw8,79,290,384,"  The man then serves two more balls across the net, the ball just land on the other side."
v_HqGWA16ECWE,0,8530,10401,A girl in a dress is crossing monkey bars.
v_HqGWA16ECWE,8630,1779,10401, She gets to the end and steps on a rock.
v_HqGWA16ECWE,7590,2820,10401, A boy in a blue shirt stands behind her.
v_SjfrdNchlqw,0,852,1457,men are sitting in a black jack table in a casino and the dealer is spreading the cards to players.
v_SjfrdNchlqw,196,480,1457, man is talking to the camera.
v_SjfrdNchlqw,852,349,1457, the dealer woman is standing talking in front of the camera.
v_SjfrdNchlqw,1209,247,1457, man is standing in front of slot machine talking to the camera.
v_sjHCZWdopsQ,86,2198,5785,The fingers are pressing the black keys.
v_sjHCZWdopsQ,925,1562,5785, One finger is pressing one key.
v_sjHCZWdopsQ,2314,3471,5785, The fingers are moving to different keys and pressing them.
v_sjpWwjzCbrw,0,3047,4033,A health professional washers her hands with soap in a sink.
v_sjpWwjzCbrw,2179,686,4033, The woman scrubs between the fingers thoroughly.
v_sjpWwjzCbrw,3107,544,4033, The hands are dried with a paper towel in between the fingers thoroughly.
v_sjpWwjzCbrw,3813,221,4033, The woman throws the paper towel in a designated waste bin.
v_sjpWwjzCbrw,3672,100,4033, The medical professional shuts off the water faucet using her elbow and also the paper towel.
v_SjwFCog0amE,0,212,1635,"Two men are sitting, with their shoes in view."
v_SjwFCog0amE,245,466,1635, A man picks up a shoe and puts it on his foot.
v_SjwFCog0amE,843,794,1635," He then applies the other shoe, then ties the laces."
v_Sk1RSHPavBU,0,9870,9838,We see men playing soccer in the sand.
v_Sk1RSHPavBU,2570,1870,9838, The ball enters and everyone runs towards the ball.
v_Sk1RSHPavBU,4390,1240,9838, A man on the right kicks the ball into the goal.
v_Sk1RSHPavBU,7300,2219,9838, The men in red all high five.
v_SKbjRXF35Wk,0,5163,5160,Two people are dancing on a dance floor.
v_SKbjRXF35Wk,206,4957,5160, People are sitting and standing on the sidelines watching them dance.
v_SKbjRXF35Wk,2607,2555,5160, They continue to dance on the dance floor.
v_skSPijG9sgU,0,2571,6591,A few kids are seen standing on a stage followed by the children pushing a puck along the ice.
v_skSPijG9sgU,2340,4253,6591, Several people are shown playing the game around them and panning to the audience reacting as well as people standing on the sides.
v_Skz2tom_Ag0,0,2200,6975,A man is seen standing on a tennis court on one side of the fence.
v_Skz2tom_Ag0,2020,3470,6975, Another person is seen standing on the other side and then hit a ball to one another.
v_Skz2tom_Ag0,4670,2130,6975, The person misses the birdie and walks over towards it.
v_SlogVhfmTVs,169,127,4236,A boy sprays shaving cream into his hand from a can in his bathroom.
v_SlogVhfmTVs,317,339,4236, The boy applies the shaving cream to his face.
v_SlogVhfmTVs,678,1716,4236, A man has shaving cream on his face and reads a label on a pressurized can and discusses it.
v_SlogVhfmTVs,2564,254,4236, A man rubs his smooth face.
v_SlogVhfmTVs,2966,169,4236, The man holds up a metal oil can.
v_SlogVhfmTVs,3263,974,4236, The man applies a medicine dropper with liquid to a razor and demonstrates how to use it.
v_SLPD1U5iDjY,0,22650,129411,A woman is seen outside playing a game of beach volley ball serving it over the net in slow motion.
v_SLPD1U5iDjY,22650,39460,129411,It makes it over the net and the other team of two balls is able to hit it back over the net.
v_SLPD1U5iDjY,62760,66650,129411,Both pairs of people continue to play the game and eventually the side with the man and woman on the team end up winning.
v_sLq6p6NKApk,0,2244,2241,We see a man with a croquet mallet talking.
v_sLq6p6NKApk,403,886,2241, The man lines up his shot of the red ball.
v_sLq6p6NKApk,1312,89,2241, The man hits the red ball.
v_sLq6p6NKApk,1761,482,2241, The man points at the blue ball the kneels in the grass.
v_SlT6OBmQqpc,0,502,1568,A young man is seen standing in front of the camera and begins spinning in circles.
v_SlT6OBmQqpc,439,1130,1568, He continues spinning and then does several kicks and punches while also throwing darts.
v_slUvIngXl4g,0,1197,2136,two sumos are on sides of a ring and the refeee is in the middle while people is in sands sitting arpund them watching them.
v_slUvIngXl4g,1197,940,2136, sumo start wrestling and fell out the ring.
v_SLv4rEkiYaU,0,154,2205,Text appears on the screen briefly.
v_SLv4rEkiYaU,154,882,2205, An elephant rides past a cow.
v_SLv4rEkiYaU,1037,1169,2205, People are in a tube on a river.
v_Sma-ydx49eQ,0,2358,2357,A man starts jump roping on a stage.
v_Sma-ydx49eQ,0,1733,2357, People are in the audience watching him.
v_Sma-ydx49eQ,1415,943,2357, Two men stand behind cameras filming him.
v_SmBEf-g82Ew,3600,36470,90096,A close up of tools and objects are shown laid out leading into several clips of a mean measuring a wall and laying plaster down on it.
v_SmBEf-g82Ew,34670,51319,90096, The man shows how to make plaster while transitioning with him making plaster and continues to show more clips of him laying it down.
v_smfBAiFujmE,0,314,704,A person is seen sitting in the water with a pair of skis attached to his feet.
v_smfBAiFujmE,300,406,704, The man then gets up on the skis and rides along the water behind a boat.
v_smGijLg8Cho,0,73,3678,Three men are set up to play darts.
v_smGijLg8Cho,73,257,3678, The man in the peach shirts throws a dart at the dart board.
v_smGijLg8Cho,331,220,3678, A man in blue hits a cue ball.
v_smGijLg8Cho,552,975,3678, The man in peach lines back up and shoots three darts at the dart board and removes them.
v_smGijLg8Cho,1527,37,3678, He lines back up in front of the board and throws one more dart.
v_smGijLg8Cho,1564,276,3678, More people gather around as two men remove the darts from the dartboards and walk back a distance.
v_smGijLg8Cho,1840,183,3678, Both men throw a dart at the dartboard.
v_smGijLg8Cho,2024,588,3678, The man in peach walks to remove the darts.
v_smGijLg8Cho,2612,220,3678, A woman stands by the dart board and smiles.
v_smGijLg8Cho,2833,846,3678, The man in peach throws three darts at the board again and smiles as he removes them.
v_SMhW9V-cJsQ,0,387,822,A man wearing gloves is on his hands and knees using a power tool that is creating sparks.
v_SMhW9V-cJsQ,379,444,822, He continues using the object as the camera man watches and finishes burning the object.
v_smk2WJV1Zmo,0,151,3776,woman is in a gym doing leg exercise and abs.
v_smk2WJV1Zmo,151,434,3776, thw woman is sitting in a terrace talking to the camera.
v_smk2WJV1Zmo,585,2437,3776, woman is walking in a sidewalk with a white small dog and enters in a house.
v_smk2WJV1Zmo,3023,755,3776, the woman is again in the terrace talking to the camera.
v_sMO2IlNgDuw,0,77230,175474,A young child is seen playing with a toy and putting lip stick on her lips.
v_sMO2IlNgDuw,76350,64940,175474," The camera is then seen moving around a room, walking down stairs and following the young girl."
v_sMO2IlNgDuw,138660,35979,175474, The girl walks back into her room to play with her toy while the camera follows.
v_SMpmoqIk3Ts,0,63,750,Several individuals are in the water playing a game and the man throws an orange ball to a person.
v_SMpmoqIk3Ts,60,154,750,The person then takes the ball and throws it to the man sitting next to the goal.
v_SMpmoqIk3Ts,210,542,750,He then moves to the other side of the pool and grabs the goal.
v_SMUWOVJ3bzE,700,29380,69925,A young child is seen sitting before a piano and playing a song while wearing a halloween costume.
v_SMUWOVJ3bzE,26240,42320,69925, The boy continues playing the instrument and ends by pulling his mask down.
v_smYAy6TYS3M,0,34,528,A group of small children are on a playground.
v_smYAy6TYS3M,42,195,528, They take turns hopping across a game of hopscotch drawn on the sidewalk.
v_smYAy6TYS3M,253,275,528, They continue taking turns over and over.
v_sn1OtmEJxng,0,675,4652,A long line of bikers are shown in the dark at an event.
v_sn1OtmEJxng,698,838,4652, A man is speaking onstage to the people as they prepare for the main event.
v_sn1OtmEJxng,2095,2561,4652," The people run and jog past the cheering crowd, until the reach the finish line, where they stop to talk and hold up the rope they tore down."
v_Sn8IRyUFNac,1490,15060,37171,A woman smoking a cigarette speaks to another about how much they need smoking.
v_Sn8IRyUFNac,15810,11159,37171, They continue talking about their smoking habit and what they can do to continue smoking if they please.
v_8QbHeaXOJOA,0,504,6307,A kite is shown high in the air.
v_8QbHeaXOJOA,694,2934,6307, A man is holding the kite before letting it go.
v_8QbHeaXOJOA,3754,2555,6307," It spins high into the air and flips in circles and angles, bouncing off the ground."
v_8Qg395HjqFg,0,712,4915,A man in a white jacket picks up an iron.
v_8Qg395HjqFg,983,467,4915, He places tin foil down onto a table.
v_8Qg395HjqFg,1425,688,4915, He puts bread on the tin foil with butter and cheese.
v_8Qg395HjqFg,2163,1204,4915, He puts the iron on the sandwich.
v_8Qg395HjqFg,3343,639,4915, He opens the tin foil and cuts the sandwich in half.
v_8Qg395HjqFg,4548,221,4915, He takes a bit of the sandwich.
v_8qIl-0XOguM,0,1119,6396,The camera follows several people on a walkway from a first person perspective.
v_8qIl-0XOguM,1119,1055,6396, The camera shows sliding down a snowy slope from a first person perspective alongside others.
v_8qIl-0XOguM,2174,415,6396, The camera shows sliding down a snowy slope from a first person perspective looking backwards.
v_8qIl-0XOguM,2589,1183,6396, The camera shows another slide down the slope from a first person perspective alongside others.
v_8qIl-0XOguM,3772,255,6396, The camera watches as multiple other people slide down the slope.
v_8qIl-0XOguM,4092,543,6396, The camera catches another slide down the slope from a first person perspective while spinning.
v_8qIl-0XOguM,4700,1694,6396, The camera catches more slides down the slope from a first person perspective while looking left and right.
v_8qODQbBVsus,0,947,4207,A man and woman are standing at a counter with a pineapple.
v_8qODQbBVsus,947,463,4207, The man ripped the top of the pineapple.
v_8qODQbBVsus,1410,189,4207,  The man sliced the top off the pineapple.
v_8qODQbBVsus,1600,463,4207, The man cut the pineapple in half.
v_8qODQbBVsus,2063,2147,4207, The man cut the skin off the pineapple.
v_8qzR38WgsS8,0,1348,3795,A group of young boys are on bicycles behind a sand preparing to take off and race down the course.
v_8qzR38WgsS8,1367,1614,3795,The latch is let down and they all take off into the dirt and start to race in the dirt.
v_8qzR38WgsS8,2943,854,3795,Many of the boys keep going around the track and people are spread throughout the course holding up sticks.
v_8rHY_Vt2FLA,0,1088,3886,A car is seen driving around and leads into a man pumping air in the tire.
v_8rHY_Vt2FLA,1088,1711,3886, The man puts a wire along the tire and continues to spin it around.
v_8rHY_Vt2FLA,2527,1225,3886, He pumps more hair into the tire and takes off the jack driving it away.
v_8rimo9x4qqw,0,4104,4364,A snowboarder gives a tutorial for how to hit a jump.
v_8rimo9x4qqw,1419,2947,4364,  A few techniques are shown in four parts.
v_8rypSctbfjU,3400,12459,226637,A brush and two kinds of paint are on a table.
v_8rypSctbfjU,16990,18130,226637," A knitter's hoop is shown lying on cloth, and a woman paints a design into the cloth."
v_8rypSctbfjU,37390,159740,226637, She forms many leaves and flowers in orange shades.
v_8rypSctbfjU,200520,26060,226637," When she is done, she shows off the flower design."
v_8SCg3toperM,880,21660,88424,A large group of people are seen running around a field playing lacrosse while others watch.
v_8SCg3toperM,15020,45519,88424, The game continues on as people still watch them on the sides.
v_8SCg3toperM,59210,26960,88424, They stop various times to speak to one another and continue playing the game.
v_8slE1UskRS4,0,259,5187,"Three people are standing outside under a very large concrete gazebo and briefly the white word ""MARANHAO"" is on the right side of the screen."
v_8slE1UskRS4,259,467,5187,A man with an instrument starts walking towards the three people and he begins to adjust his instrument.
v_8slE1UskRS4,726,4462,5187," Two of the people start dancing, the woman starts singing, then all the people are now holding instruments and are smiling as they start playing their instruments, dancing, and singing together."
v_8SMXK2uOvk0,210,2580,42919,The credits of the clip are shown.
v_8SMXK2uOvk0,5580,3220,42919, People are biking down a path.
v_8SMXK2uOvk0,12880,1719,42919, A person is trying to start a fire.
v_8SMXK2uOvk0,15890,23610,42919, The person feeds the fire and moves it to a hole.
v_8SMXK2uOvk0,39710,3219,42919, The credits of the video are shown.
v_8sTJGmY-SGQ,14,391,1396,A man is seen standing with his arms up and walks in between a set of uneven bars.
v_8sTJGmY-SGQ,412,608,1396, The man then hopes up on the bars and begins spinning himself around.
v_8sTJGmY-SGQ,1013,377,1396, He continues spinning on the bars and ends by jumping down on the sides.
v_8TDYCXqSHCw,0,417,540,"A gymnast lift a weight until his shoulders, then lift it above his head."
v_8TDYCXqSHCw,417,120,540, The man left the weight fall on the floor.
v_8tI9IsSpgeI,0,14530,21577,A man lifts  large weight off the ground.
v_8tI9IsSpgeI,15400,6290,21577, He pushes it over his head before dropping it on the ground.
